iter	Logloss
0	0.6782618597
1	0.6646745684
2	0.6518531739
3	0.6401712719
4	0.6292547329
5	0.619986022
6	0.6112714305
7	0.6026300123
8	0.5950742158
9	0.5880926472
10	0.582027526
11	0.5758435328
12	0.570564173
13	0.5657060482
14	0.5607880358
15	0.5565539444
16	0.5525084114
17	0.5490829234
18	0.5458845566
19	0.5422342008
20	0.5393863109
21	0.5370796563
22	0.5343083246
23	0.5321978098
24	0.5298647776
25	0.5279730387
26	0.5258130107
27	0.5240433362
28	0.5222771017
29	0.5209010501
30	0.5194926094
31	0.5181136717
32	0.5170574407
33	0.5159479795
34	0.5147147816
35	0.5138012555
36	0.5128968385
37	0.5119625281
38	0.5111506435
39	0.5104672223
40	0.5096585582
41	0.5089488817
42	0.5082556436
43	0.5076556075
44	0.5071603108
45	0.5066108037
46	0.5061148662
47	0.5056878779
48	0.5052516566
49	0.5047045573
50	0.5042301133
51	0.5037058726
52	0.503328791
53	0.5028846058
54	0.5025603035
55	0.50222712
56	0.5018956094
57	0.5014812354
58	0.5012055715
59	0.5009582404
60	0.5006667441
61	0.5004796119
62	0.500276524
63	0.5000207824
64	0.4997023991
65	0.4994442175
66	0.4992673046
67	0.499017591
68	0.4987514803
69	0.4986050516
70	0.4984357619
71	0.4982975706
72	0.4981087473
73	0.497886498
74	0.4976449127
75	0.4974517659
76	0.4972676693
77	0.4970415868
78	0.4968175713
79	0.4966950248
80	0.4964589711
81	0.4963350857
82	0.4961439073
83	0.496018091
84	0.4958053974
85	0.4956928558
86	0.4954354718
87	0.4953134862
88	0.4950825511
89	0.4949508005
90	0.4947492426
91	0.4946008307
92	0.4945047361
93	0.494386221
94	0.4942080599
95	0.4940987403
96	0.4939791499
97	0.4938644296
98	0.4937678247
99	0.4936415727
100	0.4935056419
101	0.4933960857
102	0.4933089054
103	0.4931857754
104	0.493090591
105	0.4930040303
106	0.4928913205
107	0.4927895534
108	0.492598418
109	0.4924985411
110	0.492397548
111	0.4922700304
112	0.4921754986
113	0.4920784635
114	0.4919195765
115	0.4917441237
116	0.4916367716
117	0.4915351401
118	0.4914537963
119	0.4913621432
120	0.4912723326
121	0.491135455
122	0.4910772839
123	0.4910228616
124	0.4909262161
125	0.49085446
126	0.4907551868
127	0.4906066188
128	0.4905312364
129	0.4903634727
130	0.4902897017
131	0.4901445868
132	0.4900655032
133	0.4899261101
134	0.4897834758
135	0.4896704689
136	0.4895144885
137	0.4893723025
138	0.489311333
139	0.4892233342
140	0.4890634357
141	0.4890189205
142	0.4889264321
143	0.4888747352
144	0.4888131365
145	0.4887542823
146	0.4886557211
147	0.4885270152
148	0.4884059765
149	0.4883169031
150	0.4881837826
151	0.4881283293
152	0.4880701696
153	0.4879481839
154	0.4878847798
155	0.4878201666
156	0.4877042115
157	0.4876246934
158	0.487524255
159	0.4874396096
160	0.4873499679
161	0.487282557
162	0.487228297
163	0.4871398167
164	0.4870628403
165	0.4869980877
166	0.4869170639
167	0.4868270259
168	0.4867564438
169	0.4865700739
170	0.4865072853
171	0.4864618382
172	0.4864055432
173	0.486327961
174	0.4862324967
175	0.4861475503
176	0.4860649337
177	0.4859982056
178	0.4859530973
179	0.4858783454
180	0.4857874349
181	0.4857341433
182	0.4856571791
183	0.4855698904
184	0.4855064168
185	0.4854392781
186	0.4854065976
187	0.4853566203
188	0.4853021647
189	0.4852201301
190	0.4851467334
191	0.4850111179
192	0.4849688246
193	0.4848771852
194	0.4848300334
195	0.4847830716
196	0.4847544949
197	0.4847002581
198	0.4846505115
199	0.4845310415
200	0.4844188322
201	0.4843762504
202	0.4842875651
203	0.4841570112
204	0.4840714722
205	0.4839973219
206	0.4839067581
207	0.4838470075
208	0.4837834899
209	0.4837438892
210	0.4837045529
211	0.4836613153
212	0.4836029571
213	0.4835033102
214	0.4834586371
215	0.4833914719
216	0.4833547494
217	0.4833023331
218	0.4832426049
219	0.4832115512
220	0.4830964781
221	0.4830045709
222	0.4829247358
223	0.4828857243
224	0.4828429801
225	0.4828067706
226	0.4827188195
227	0.4826547651
228	0.4826084615
229	0.4825403237
230	0.4824996528
231	0.4824195901
232	0.4823706723
233	0.4823113297
234	0.4822631257
235	0.4822015111
236	0.4821004809
237	0.4820530894
238	0.4819636867
239	0.4819272927
240	0.4818825491
241	0.4818031917
242	0.4817533444
243	0.4816958087
244	0.4816376962
245	0.4815601954
246	0.4814559374
247	0.4814153599
248	0.4813737541
249	0.4813264966
250	0.481256247
251	0.4812080641
252	0.4811376747
253	0.4810211836
254	0.4809748974
255	0.4809300032
256	0.4808897061
257	0.4808179024
258	0.480761104
259	0.48071009
260	0.4806525465
261	0.4805945278
262	0.4804878506
263	0.4804021539
264	0.4803619722
265	0.4803012129
266	0.4802357103
267	0.4801949369
268	0.480144075
269	0.4801031506
270	0.4800646223
271	0.4799764569
272	0.4799002195
273	0.4798503367
274	0.4797654259
275	0.4797181462
276	0.4796505716
277	0.47958538
278	0.4795152455
279	0.4794439189
280	0.4793755812
281	0.4793211478
282	0.4792751284
